"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04922","hsa04922","Glucagon signaling pathway","4/80","107/8541",0.0177903845031252,0.131204085710548,0.107678643045231,"FBP1/LDHB/PGAM1/CALM2",4
"hsa05164","hsa05164","Influenza A","5/80","173/8541",0.0228379992016369,0.161693034347589,0.13270079536109,"SLC25A5/ACTG1/ACTB/HLA-DQB1/VDAC1",5
"hsa05416","hsa05416","Viral myocarditis","3/80","70/8541",0.0276531052719511,0.179238240034591,0.14710007210689,"ACTG1/ACTB/HLA-DQB1",3
"hsa05152","hsa05152","Tuberculosis","5/80","182/8541",0.0276731475152485,0.179238240034591,0.14710007210689,"CORO1A/LSP1/HSPD1/HLA-DQB1/CALM2",5
"hsa05230","hsa05230","Central carbon metabolism in cancer","3/80","71/8541",0.0286829034388926,0.179238240034591,0.14710007210689,"LDHB/IDH2/PGAM1",3
"hsa05131","hsa05131","Shigellosis","6/80","250/8541",0.0293836983107844,0.179238240034591,0.14710007210689,"ARPC3/ARPC1B/ACTG1/ACTB/ARPC2/VDAC1",6
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","2/80","30/8541",0.0318166142134498,0.179238240034591,0.14710007210689,"IDH2/MDH2",2
"hsa01230","hsa01230","Biosynthesis of amino acids","3/80","75/8541",0.0330038809307542,0.179238240034591,0.14710007210689,"IDH2/ENO1/PGAM1",3
"hsa04971","hsa04971","Gastric acid secretion","3/80","76/8541",0.0341343594771916,0.179238240034591,0.14710007210689,"ACTG1/ACTB/CALM2",3
"hsa04613","hsa04613","Neutrophil extracellular trap formation","5/80","193/8541",0.0344135774324174,0.179238240034591,0.14710007210689,"SLC25A5/ACTG1/HMGB1/ACTB/VDAC1",5
"hsa00640","hsa00640","Propanoate metabolism","2/80","32/8541",0.0358464526931961,0.179238240034591,0.14710007210689,"LDHB/ECHS1",2
"hsa05310","hsa05310","Asthma","2/80","32/8541",0.0358464526931961,0.179238240034591,0.14710007210689,"FCER1A/HLA-DQB1",2
"hsa03018","hsa03018","RNA degradation","3/80","78/8541",0.0364552352612727,0.179238240034591,0.14710007210689,"ENO1/HSPD1/LSM4",3
"hsa00190","hsa00190","Oxidative phosphorylation","4/80","138/8541",0.0402004657153135,0.192310335989473,0.15782828644988,"PPA1/COX5A/CYC1/NDUFS8",4
"hsa05415","hsa05415","Diabetic cardiomyopathy","5/80","205/8541",0.0428443377921722,0.199564415505644,0.16378167909473,"SLC25A5/COX5A/CYC1/NDUFS8/VDAC1",5
"hsa01232","hsa01232","Nucleotide metabolism","3/80","85/8541",0.0452004246157147,0.205140388640551,0.168357856868249,"NME1/APRT/DUT",3
"hsa03040","hsa03040","Spliceosome","5/80","217/8541",0.0524262823819583,0.231986299540166,0.190390183387112,"HNRNPA1/LSM4/SRSF7/SNRPE/SNRPG",5
"hsa04540","hsa04540","Gap junction","3/80","92/8541",0.0548916088728287,0.236971091963187,0.194481181629021,"TUBA1B/TUBA1A/TUBB",3
"hsa04921","hsa04921","Oxytocin signaling pathway","4/80","155/8541",0.0571774479400184,0.239712239812836,0.196730830176458,"ACTG1/CAMK1/ACTB/CALM2",4
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","5/80","224/8541",0.0585530758053715,0.239712239812836,0.196730830176458,"SLC25A5/RANBP1/RAN/HLA-DQB1/VDAC1",5
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","5/80","227/8541",0.0613002907862533,0.239712239812836,0.196730830176458,"SLC25A5/COX5A/CYC1/NDUFS8/VDAC1",5
"hsa04217","hsa04217","Necroptosis","4/80","159/8541",0.0616556623631675,0.239712239812836,0.196730830176458,"SLC25A5/HMGB1/PPIA/VDAC1",4
"hsa03410","hsa03410","Base excision repair","2/80","44/8541",0.0636524026621656,0.239712239812836,0.196730830176458,"HMGB1/APEX1",2
"hsa04940","hsa04940","Type I diabetes mellitus","2/80","44/8541",0.0636524026621656,0.239712239812836,0.196730830176458,"HSPD1/HLA-DQB1",2
"hsa04640","hsa04640","Hematopoietic cell lineage","3/80","100/8541",0.0670801729377407,0.247358137707919,0.20300578652211,"CD1A/HLA-DQB1/CD1C",3
"hsa04714","hsa04714","Thermogenesis","5/80","235/8541",0.0689816542910804,0.24917862876574,0.204499855900518,"COX5A/ACTG1/ACTB/CYC1/NDUFS8",5
"hsa00620","hsa00620","Pyruvate metabolism","2/80","47/8541",0.0714549781963339,0.252950622815022,0.207595515601981,"LDHB/MDH2",2
"hsa05110","hsa05110","Vibrio cholerae infection","2/80","51/8541",0.0823104670157603,0.285665738466462,0.234444673852939,"ACTG1/ACTB",2
"hsa00270","hsa00270","Cysteine and methionine metabolism","2/80","52/8541",0.0850996572376338,0.289666140981946,0.237727787424969,"LDHB/MDH2",2
"hsa00240","hsa00240","Pyrimidine metabolism","2/80","58/8541",0.10240822496764,0.342004826778722,0.280681927418755,"NME1/DUT",2
"hsa00480","hsa00480","Glutathione metabolism","2/80","59/8541",0.105381695774686,0.345417780594803,0.283482924306172,"IDH2/LAP3",2
"hsa04611","hsa04611","Platelet activation","3/80","126/8541",0.114089915403202,0.367162091388486,0.3013283890075,"ACTG1/ACTB/VAMP8",3
"hsa03250","hsa03250","Viral life cycle - HIV-1","2/80","64/8541",0.120587256363735,0.381141863863949,0.312801529665328,"RAN/PPIA",2
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","2/80","69/8541",0.136296434668834,0.423236297129538,0.347348254557694,"ALOX5AP/FCER1A",2
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","3/80","141/8541",0.14558214454211,0.444276544550921,0.364615897401292,"ACTG1/ACTB/CALM2",3
"hsa05214","hsa05214","Glioma","2/80","76/8541",0.158989956776439,0.476969870329317,0.391447172794801,"CAMK1/CALM2",2
"hsa05133","hsa05133","Pertussis","2/80","78/8541",0.165600168695352,0.488520497651288,0.400926724209799,"CFL1/CALM2",2
"hsa04820","hsa04820","Cytoskeleton in muscle cells","4/80","232/8541",0.172339040521625,0.495372449743468,0.406550092563774,"ENO1/ACTG1/ACTB/CAPZB",4
"hsa00983","hsa00983","Drug metabolism - other enzymes","2/80","81/8541",0.175604905686163,0.495372449743468,0.406550092563774,"NME1/DUT",2
"hsa04218","hsa04218","Cellular senescence","3/80","157/8541",0.181916436346471,0.495372449743468,0.406550092563774,"SLC25A5/CALM2/VDAC1",3
"hsa04390","hsa04390","Hippo signaling pathway","3/80","157/8541",0.181916436346471,0.495372449743468,0.406550092563774,"YWHAH/ACTG1/ACTB",3
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","3/80","157/8541",0.181916436346471,0.495372449743468,0.406550092563774,"COX5A/CYC1/NDUFS8",3
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","2/80","86/8541",0.192485011538801,0.516209803672238,0.423651221568652,"ACTG1/ACTB",2
"hsa04260","hsa04260","Cardiac muscle contraction","2/80","87/8541",0.195887618840795,0.51749415723613,0.424705285153648,"COX5A/CYC1",2
"hsa04022","hsa04022","cGMP-PKG signaling pathway","3/80","166/8541",0.203346881860472,0.529299971901522,0.434394267751472,"SLC25A5/CALM2/VDAC1",3
"hsa04144","hsa04144","Endocytosis","4/80","252/8541",0.21036324856506,0.537409482259226,0.441049708901416,"ARPC3/ARPC1B/ARPC2/CAPZB",4
"hsa04020","hsa04020","Calcium signaling pathway","4/80","254/8541",0.214295604819293,0.537409482259226,0.441049708901416,"SLC25A5/CAMK1/CALM2/VDAC1",4
"hsa04520","hsa04520","Adherens junction","2/80","93/8541",0.216452138385814,0.537409482259226,0.441049708901416,"ACTG1/ACTB",2
"hsa05323","hsa05323","Rheumatoid arthritis","2/80","95/8541",0.223353667845411,0.537409482259226,0.441049708901416,"LTB/HLA-DQB1",2
"hsa00062","hsa00062","Fatty acid elongation","1/80","27/8541",0.224679670549055,0.537409482259226,0.441049708901416,"ECHS1",1
"hsa00650","hsa00650","Butanoate metabolism","1/80","27/8541",0.224679670549055,0.537409482259226,0.441049708901416,"ECHS1",1
"hsa04925","hsa04925","Aldosterone synthesis and secretion","2/80","98/8541",0.233738820698133,0.543796251058641,0.446291303277386,"CAMK1/CALM2",2
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","2/80","99/8541",0.237207793971683,0.543796251058641,0.446291303277386,"ACTG1/ACTB",2
"hsa04744","hsa04744","Phototransduction","1/80","29/8541",0.239182331996389,0.543796251058641,0.446291303277386,"CALM2",1
"hsa05168","hsa05168","Herpes simplex virus 1 infection","3/80","182/8541",0.242766160739845,0.543796251058641,0.446291303277386,"HLA-DQB1/SRSF7/TAP1",3
"hsa05146","hsa05146","Amoebiasis","2/80","103/8541",0.251110350407018,0.543796251058641,0.446291303277386,"CD1A/CD1C",2
"hsa00030","hsa00030","Pentose phosphate pathway","1/80","31/8541",0.253417043896187,0.543796251058641,0.446291303277386,"FBP1",1
"hsa00410","hsa00410","beta-Alanine metabolism","1/80","31/8541",0.253417043896187,0.543796251058641,0.446291303277386,"ECHS1",1
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","1/80","31/8541",0.253417043896187,0.543796251058641,0.446291303277386,"MDH2",1
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","2/80","105/8541",0.258072797112575,0.543796251058641,0.446291303277386,"LSP1/CALM2",2
"hsa05414","hsa05414","Dilated cardiomyopathy","2/80","105/8541",0.258072797112575,0.543796251058641,0.446291303277386,"ACTG1/ACTB",2
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","1/80","33/8541",0.267388695333138,0.55032324504611,0.451647979877271,"IDH2",1
"hsa04130","hsa04130","SNARE interactions in vesicular transport","1/80","33/8541",0.267388695333138,0.55032324504611,0.451647979877271,"VAMP8",1
"hsa00051","hsa00051","Fructose and mannose metabolism","1/80","34/8541",0.274277377088351,0.554111587530826,0.454757056671151,"FBP1",1
"hsa04066","hsa04066","HIF-1 signaling pathway","2/80","110/8541",0.275490506794987,0.554111587530826,0.454757056671151,"LDHB/ENO1",2
"hsa04510","hsa04510","Focal adhesion","3/80","203/8541",0.296166751800355,0.573458568205016,0.470635042594661,"SPP1/ACTG1/ACTB",3
"hsa04670","hsa04670","Leukocyte transendothelial migration","2/80","116/8541",0.296370329319487,0.573458568205016,0.470635042594661,"ACTG1/ACTB",2
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","2/80","117/8541",0.299844055139075,0.573458568205016,0.470635042594661,"ACTG1/ACTB",2
"hsa05340","hsa05340","Primary immunodeficiency","1/80","38/8541",0.301198228428025,0.573458568205016,0.470635042594661,"TAP1",1
"hsa05203","hsa05203","Viral carcinogenesis","3/80","205/8541",0.301308739226364,0.573458568205016,0.470635042594661,"GSN/YWHAH/RANBP1",3
"hsa05330","hsa05330","Allograft rejection","1/80","39/8541",0.307772865817859,0.575555224188631,0.472355759369795,"HLA-DQB1",1
"hsa04722","hsa04722","Neurotrophin signaling pathway","2/80","120/8541",0.310249242717447,0.575555224188631,0.472355759369795,"ARHGDIB/CALM2",2
"hsa04919","hsa04919","Thyroid hormone signaling pathway","2/80","122/8541",0.317170215647133,0.575555224188631,0.472355759369795,"ACTG1/ACTB",2
"hsa04015","hsa04015","Rap1 signaling pathway","3/80","212/8541",0.319341654715075,0.575555224188631,0.472355759369795,"ACTG1/ACTB/CALM2",3
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","1/80","41/8541",0.320739427895023,0.575555224188631,0.472355759369795,"PGAM1",1
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","3/80","213/8541",0.32192071861398,0.575555224188631,0.472355759369795,"CFL1/TAP1/CALM2",3
"hsa00380","hsa00380","Tryptophan metabolism","1/80","42/8541",0.327132468573658,0.579024469375375,0.475202954349103,"ECHS1",1
"hsa00071","hsa00071","Fatty acid degradation","1/80","43/8541",0.333466084588967,0.583185027047395,0.478617506586622,"ECHS1",1
"hsa00230","hsa00230","Purine metabolism","2/80","128/8541",0.337836501657902,0.583185027047395,0.478617506586622,"NME1/APRT",2
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","1/80","44/8541",0.339740821377962,0.583185027047395,0.478617506586622,"ARHGDIB",1
"hsa02010","hsa02010","ABC transporters","1/80","45/8541",0.345957219434895,0.583185027047395,0.478617506586622,"TAP1",1
"hsa05332","hsa05332","Graft-versus-host disease","1/80","45/8541",0.345957219434895,0.583185027047395,0.478617506586622,"HLA-DQB1",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","2/80","134/8541",0.358321515205464,0.593001836876509,0.486674121254583,"PPP1R14A/CALM2",2
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","1/80","48/8541",0.364261712940187,0.593001836876509,0.486674121254583,"ECHS1",1
"hsa04910","hsa04910","Insulin signaling pathway","2/80","138/8541",0.371856449927629,0.593001836876509,0.486674121254583,"FBP1/CALM2",2
"hsa04114","hsa04114","Oocyte meiosis","2/80","139/8541",0.375223314376272,0.593001836876509,0.486674121254583,"YWHAH/CALM2",2
"hsa00330","hsa00330","Arginine and proline metabolism","1/80","50/8541",0.376182705582485,0.593001836876509,0.486674121254583,"LAP3",1
"hsa00565","hsa00565","Ether lipid metabolism","1/80","50/8541",0.376182705582485,0.593001836876509,0.486674121254583,"PLD4",1
"hsa04672","hsa04672","Intestinal immune network for IgA production","1/80","50/8541",0.376182705582485,0.593001836876509,0.486674121254583,"HLA-DQB1",1
"hsa04371","hsa04371","Apelin signaling pathway","2/80","140/8541",0.378583093599127,0.593001836876509,0.486674121254583,"SPP1/CALM2",2
"hsa04979","hsa04979","Cholesterol metabolism","1/80","51/8541",0.382060150353819,0.593198654496719,0.486835648650296,"VDAC1",1
"hsa05320","hsa05320","Autoimmune thyroid disease","1/80","54/8541",0.399366350129223,0.614676904111934,0.504462758057966,"HLA-DQB1",1
"hsa05134","hsa05134","Legionellosis","1/80","56/8541",0.410637006241329,0.626575431937201,0.514227829957381,"HSPD1",1
"hsa01212","hsa01212","Fatty acid metabolism","1/80","57/8541",0.416193758097628,0.62962645455795,0.516731791430253,"ECHS1",1
"hsa00310","hsa00310","Lysine degradation","1/80","63/8541",0.448464178092303,0.672696267138454,0.552079006036911,"ECHS1",1
"hsa04929","hsa04929","GnRH secretion","1/80","65/8541",0.458824467754094,0.672841471652678,0.552198174772938,"SPP1",1
"hsa05321","hsa05321","Inflammatory bowel disease","1/80","66/8541",0.463932306661559,0.672841471652678,0.552198174772938,"HLA-DQB1",1
"hsa04720","hsa04720","Long-term potentiation","1/80","67/8541",0.468992532675373,0.672841471652678,0.552198174772938,"CALM2",1
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","2/80","168/8541",0.46921228841774,0.672841471652678,0.552198174772938,"RAN/NHP2",2
"hsa04140","hsa04140","Autophagy - animal","2/80","169/8541",0.472309183310957,0.672841471652678,0.552198174772938,"HMGB1/VAMP8",2
"hsa05225","hsa05225","Hepatocellular carcinoma","2/80","170/8541",0.475395487299943,0.672841471652678,0.552198174772938,"ACTG1/ACTB",2
"hsa04924","hsa04924","Renin secretion","1/80","69/8541",0.478971895074788,0.672841471652678,0.552198174772938,"CALM2",1
"hsa05031","hsa05031","Amphetamine addiction","1/80","69/8541",0.478971895074788,0.672841471652678,0.552198174772938,"CALM2",1
"hsa05140","hsa05140","Leishmaniasis","1/80","79/8541",0.526157049210571,0.733305493781662,0.60182074422759,"HLA-DQB1",1
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/80","80/8541",0.530636774578469,0.733771164846789,0.602202918518328,"AXL",1
"hsa04146","hsa04146","Peroxisome","1/80","83/8541",0.543826527687606,0.746180584501599,0.612387277200241,"IDH2",1
"hsa04512","hsa04512","ECM-receptor interaction","1/80","89/8541",0.56911763498726,0.769020231457838,0.63113167969778,"SPP1",1
"hsa05169","hsa05169","Epstein-Barr virus infection","2/80","204/8541",0.573615473708221,0.769020231457838,0.63113167969778,"HLA-DQB1/TAP1",2
"hsa05205","hsa05205","Proteoglycans in cancer","2/80","204/8541",0.573615473708221,0.769020231457838,0.63113167969778,"ACTG1/ACTB",2
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","1/80","93/8541",0.585203867806368,0.769020231457838,0.63113167969778,"HLA-DQB1",1
"hsa04912","hsa04912","GnRH signaling pathway","1/80","93/8541",0.585203867806368,0.769020231457838,0.63113167969778,"CALM2",1
"hsa04713","hsa04713","Circadian entrainment","1/80","97/8541",0.600696778695077,0.769020231457838,0.63113167969778,"CALM2",1
"hsa04970","hsa04970","Salivary secretion","1/80","97/8541",0.600696778695077,0.769020231457838,0.63113167969778,"CALM2",1
"hsa04070","hsa04070","Phosphatidylinositol signaling system","1/80","98/8541",0.604479850427005,0.769020231457838,0.63113167969778,"CALM2",1
"hsa05417","hsa05417","Lipid and atherosclerosis","2/80","216/8541",0.605010397063319,0.769020231457838,0.63113167969778,"HSPD1/CALM2",2
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/80","99/8541",0.608227524472467,0.769020231457838,0.63113167969778,"CALM2",1
"hsa04916","hsa04916","Melanogenesis","1/80","101/8541",0.615617984750594,0.769020231457838,0.63113167969778,"CALM2",1
"hsa05150","hsa05150","Staphylococcus aureus infection","1/80","102/8541",0.619261416174759,0.769020231457838,0.63113167969778,"HLA-DQB1",1
"hsa00564","hsa00564","Glycerophospholipid metabolism","1/80","103/8541",0.622870740348952,0.769020231457838,0.63113167969778,"PLD4",1
"hsa05163","hsa05163","Human cytomegalovirus infection","2/80","226/8541",0.629838580232903,0.769020231457838,0.63113167969778,"TAP1/CALM2",2
"hsa04064","hsa04064","NF-kappa B signaling pathway","1/80","105/8541",0.629988325205573,0.769020231457838,0.63113167969778,"LTB",1
"hsa04137","hsa04137","Mitophagy - animal","1/80","105/8541",0.629988325205573,0.769020231457838,0.63113167969778,"PHB2",1
"hsa03013","hsa03013","Nucleocytoplasmic transport","1/80","108/8541",0.640416687239427,0.76998335381788,0.631922110180598,"RAN",1
"hsa04620","hsa04620","Toll-like receptor signaling pathway","1/80","109/8541",0.643827889068058,0.76998335381788,0.631922110180598,"SPP1",1
"hsa04659","hsa04659","Th17 cell differentiation","1/80","109/8541",0.643827889068058,0.76998335381788,0.631922110180598,"HLA-DQB1",1
"hsa05145","hsa05145","Toxoplasmosis","1/80","112/8541",0.653870915829759,0.776745987260855,0.637472175093654,"HLA-DQB1",1
"hsa04071","hsa04071","Sphingolipid signaling pathway","1/80","122/8541",0.685370143563375,0.803380896759718,0.659331333647583,"FCER1A",1
"hsa04152","hsa04152","AMPK signaling pathway","1/80","122/8541",0.685370143563375,0.803380896759718,0.659331333647583,"FBP1",1
"hsa04728","hsa04728","Dopaminergic synapse","1/80","132/8541",0.714035390535069,0.82918825371096,0.680511323295347,"CALM2",1
"hsa04142","hsa04142","Lysosome","1/80","133/8541",0.716755948123033,0.82918825371096,0.680511323295347,"CTSH",1
"hsa04915","hsa04915","Estrogen signaling pathway","1/80","139/8541",0.732550719824806,0.835842642314619,0.685972552122613,"CALM2",1
"hsa05322","hsa05322","Systemic lupus erythematosus","1/80","141/8541",0.73761983254038,0.835842642314619,0.685972552122613,"HLA-DQB1",1
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","1/80","142/8541",0.740118691278091,0.835842642314619,0.685972552122613,"UBE2L6",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","1/80","149/8541",0.756964677151784,0.835842642314619,0.685972552122613,"FCER1A",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/80","149/8541",0.756964677151784,0.835842642314619,0.685972552122613,"NDUFS8",1
"hsa01240","hsa01240","Biosynthesis of cofactors","1/80","152/8541",0.763849928039444,0.835842642314619,0.685972552122613,"NME1",1
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","1/80","154/8541",0.768332712937925,0.835842642314619,0.685972552122613,"CALM2",1
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","2/80","298/8541",0.774273968299358,0.835842642314619,0.685972552122613,"LTB/IL32",2
"hsa04148","hsa04148","Efferocytosis","1/80","157/8541",0.774899780290827,0.835842642314619,0.685972552122613,"AXL",1
"hsa04110","hsa04110","Cell cycle","1/80","158/8541",0.777047683150647,0.835842642314619,0.685972552122613,"YWHAH",1
"hsa04514","hsa04514","Cell adhesion molecules","1/80","158/8541",0.777047683150647,0.835842642314619,0.685972552122613,"HLA-DQB1",1
"hsa05160","hsa05160","Hepatitis C","1/80","159/8541",0.779175344530577,0.835842642314619,0.685972552122613,"YWHAH",1
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","1/80","170/8541",0.801296335679295,0.854394285633947,0.701197808013587,"PDIA6",1
"hsa04360","hsa04360","Axon guidance","1/80","184/8541",0.826310207112028,0.873969413668146,0.717263033518907,"CFL1",1
"hsa05034","hsa05034","Alcoholism","1/80","188/8541",0.832867274723598,0.873969413668146,0.717263033518907,"CALM2",1
"hsa04621","hsa04621","NOD-like receptor signaling pathway","1/80","189/8541",0.834467971242467,0.873969413668146,0.717263033518907,"VDAC1",1
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/80","196/8541",0.845256736344269,0.880061425487857,0.722262722077456,"CALM2",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","2/80","362/8541",0.859206628183826,0.889354229172733,0.729889287099834,"SPP1/YWHAH",2
"hsa04024","hsa04024","cAMP signaling pathway","1/80","226/8541",0.88415224756035,0.909854347780128,0.746713648490382,"CALM2",1
"hsa04014","hsa04014","Ras signaling pathway","1/80","238/8541",0.89684974817613,0.917586158538584,0.753059113162799,"CALM2",1
"hsa04010","hsa04010","MAPK signaling pathway","1/80","300/8541",0.943531161108851,0.959798939748658,0.787702965717008,"STMN1",1
"hsa05206","hsa05206","MicroRNAs in cancer","1/80","312/8541",0.949773109151453,0.960627658970327,0.788383092107672,"STMN1",1
"hsa05165","hsa05165","Human papillomavirus infection","1/80","333/8541",0.959099400374631,0.96454882878585,0.791601179735042,"SPP1",1
"hsa04740","hsa04740","Olfactory transduction","1/80","453/8541",0.987481960868981,0.987481960868981,0.810422305084267,"CALM2",1
