"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04216","hsa04216","Ferroptosis","3/53","42/8541",0.0021835043504458,0.0126461293629986,0.00881063158951812,"FTH1/SAT1/SLC7A11",3
"hsa05332","hsa05332","Graft-versus-host disease","3/53","45/8541",0.00266383596830097,0.0148109279837534,0.0103188593298395,"IL1B/IL6/IL1A",3
"hsa05171","hsa05171","Coronavirus disease - COVID-19","6/53","238/8541",0.0033741196754779,0.0178153804942773,0.0124120787994965,"CXCL8/IL1B/MMP1/CFD/IL6/FCGR2A",6
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","4/53","101/8541",0.00346054153485962,0.0178153804942773,0.0124120787994965,"CXCL8/IL1B/IL6/IL1A",4
"hsa04625","hsa04625","C-type lectin receptor signaling pathway","4/53","105/8541",0.00397843033757248,0.0197500648900919,0.0137599846261905,"PTGS2/IL1B/IL6/CLEC4E",4
"hsa05152","hsa05152","Tuberculosis","5/53","182/8541",0.00521759171237216,0.0250084568282665,0.0174235367527491,"IL1B/IL6/CLEC4E/FCGR2A/IL1A",5
"hsa04978","hsa04978","Mineral absorption","3/53","61/8541",0.00630143758916765,0.0291966608298101,0.0203414827439798,"FTH1/MT2A/ATP2B1",3
"hsa05321","hsa05321","Inflammatory bowel disease","3/53","66/8541",0.00783984857868142,0.0351528694334425,0.0244912077839963,"IL1B/IL6/IL1A",3
"hsa05205","hsa05205","Proteoglycans in cancer","5/53","204/8541",0.00838379322073403,0.0364171018025635,0.0253720057995898,"CD44/THBS1/CTSL/PLAUR/HIF1A",5
"hsa05135","hsa05135","Yersinia infection","4/53","138/8541",0.0103615074464973,0.0434181698950638,0.0302496904986435,"CXCL8/IL1B/IL6/FCGR2A",4
"hsa05162","hsa05162","Measles","4/53","139/8541",0.0106202717728933,0.0434181698950638,0.0302496904986435,"IL1B/IL6/TNFAIP3/IL1A",4
"hsa03320","hsa03320","PPAR signaling pathway","3/53","76/8541",0.0115328683967768,0.045801963061485,0.0319104930076231,"MMP1/OLR1/GK",3
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","3/53","83/8541",0.0146233274398811,0.0552552103547428,0.0384966251619564,"IL1B/IL6/CCL4",3
"hsa01523","hsa01523","Antifolate resistance","2/53","30/8541",0.0147082214613344,0.0552552103547428,0.0384966251619564,"IL1B/IL6",2
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","4/53","157/8541",0.0160130837683745,0.0580370756039495,0.0404347667971477,"CXCL8/IL1B/IL6/IL1A",4
"hsa04145","hsa04145","Phagosome","4/53","159/8541",0.016701316720561,0.0580370756039495,0.0404347667971477,"THBS1/CTSL/OLR1/FCGR2A",4
"hsa04217","hsa04217","Necroptosis","4/53","159/8541",0.016701316720561,0.0580370756039495,0.0404347667971477,"FTH1/IL1B/TNFAIP3/IL1A",4
"hsa05143","hsa05143","African trypanosomiasis","2/53","37/8541",0.0219065927808164,0.0729468464247125,0.0508224905041541,"IL1B/IL6",2
"hsa05164","hsa05164","Influenza A","4/53","173/8541",0.0220414931643016,0.0729468464247125,0.0508224905041541,"CXCL8/IL1B/IL6/IL1A",4
"hsa04659","hsa04659","Th17 cell differentiation","3/53","109/8541",0.0298683895033357,0.0944401107753033,0.0657969722932822,"IL1B/IL6/HIF1A",3
"hsa04940","hsa04940","Type I diabetes mellitus","2/53","44/8541",0.0302731903420812,0.0944401107753033,0.0657969722932822,"IL1B/IL1A",2
"hsa04066","hsa04066","HIF-1 signaling pathway","3/53","110/8541",0.0305741365819327,0.0944401107753033,0.0657969722932822,"TIMP1/IL6/HIF1A",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer","4/53","198/8541",0.0339442218078827,0.102570583289037,0.0714615195955425,"CXCL8/IL6/NUPR1/BCL2A1",4
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","4/53","203/8541",0.0366998408564759,0.108537827213833,0.0756189330077444,"CXCL8/IL1B/IL6/FCGR2A",4
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","3/53","141/8541",0.056734652044977,0.164294096546913,0.114464648862673,"IL1B/CTSL/IL1A",3
"hsa05131","hsa05131","Shigellosis","4/53","250/8541",0.0687998040547924,0.195166791094207,0.135973834007323,"CXCL8/CD44/IL1B/TNIP1",4
"hsa04148","hsa04148","Efferocytosis","3/53","157/8541",0.0733306061332269,0.199861848088599,0.139244907415003,"PTGS2/THBS1/HIF1A",3
"hsa04218","hsa04218","Cellular senescence","3/53","157/8541",0.0733306061332269,0.199861848088599,0.139244907415003,"CXCL8/IL6/IL1A",3
"hsa04012","hsa04012","ErbB signaling pathway","2/53","86/8541",0.0993673920746227,0.265616682661011,0.185056681596463,"EREG/ABL2",2
"hsa04610","hsa04610","Complement and coagulation cascades","2/53","88/8541",0.103274013370663,0.270850714311738,0.188703261769632,"CFD/PLAUR",2
"hsa04512","hsa04512","ECM-receptor interaction","2/53","89/8541",0.105243265654912,0.2709039615932,0.188740359459102,"CD44/THBS1",2
"hsa04010","hsa04010","MAPK signaling pathway","4/53","300/8541",0.11475427478423,0.290015349000144,0.202055373782758,"EREG/IL1B/IL1A/JUND",4
"hsa05150","hsa05150","Staphylococcus aureus infection","2/53","102/8541",0.131716140971289,0.320064494395086,0.22299078746193,"CFD/FCGR2A",2
"hsa05169","hsa05169","Epstein-Barr virus infection","3/53","204/8541",0.132540617873322,0.320064494395086,0.22299078746193,"CD44/IL6/TNFAIP3",3
"hsa04614","hsa04614","Renin-angiotensin system","1/53","23/8541",0.133552091186439,0.320064494395086,0.22299078746193,"ANPEP",1
"hsa04137","hsa04137","Mitophagy - animal","2/53","105/8541",0.13803014702015,0.325189668403405,0.226561525884993,"BNIP3L/HIF1A",2
"hsa04350","hsa04350","TGF-beta signaling pathway","2/53","108/8541",0.144410924534846,0.334551975172392,0.233084299249224,"INHBA/THBS1",2
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","3/53","227/8541",0.166153966326178,0.378613136382603,0.263781965522146,"SOD2/ABL2/HIF1A",3
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","5/53","483/8541",0.178686476036423,0.400603551113916,0.279102814861645,"PTGS2/IL1B/IL6/IL1A/TNFRSF1B",5
"hsa04068","hsa04068","FoxO signaling pathway","2/53","133/8541",0.199610641607022,0.433529362240251,0.302042418221152,"SOD2/IL6",2
"hsa04142","hsa04142","Lysosome","2/53","133/8541",0.199610641607022,0.433529362240251,0.302042418221152,"CTSL/SLC11A1",2
"hsa05132","hsa05132","Salmonella infection","3/53","251/8541",0.203628054475072,0.434722977714477,0.30287401703697,"CXCL8/IL1B/IL6",3
"hsa04210","hsa04210","Apoptosis","2/53","136/8541",0.206415226828457,0.434722977714477,0.30287401703697,"CTSL/BCL2A1",2
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","1/53","38/8541",0.211051233029011,0.437852558075113,0.305054413804698,"NAMPT",1
"hsa05010","hsa05010","Alzheimer disease","4/53","391/8541",0.223471687742295,0.456802420532045,0.318256892759925,"PTGS2/IL1B/IL6/IL1A",4
"hsa05020","hsa05020","Prion disease","3/53","278/8541",0.247912080218029,0.495554545813117,0.34525572294439,"IL1B/IL6/IL1A",3
"hsa00860","hsa00860","Porphyrin metabolism","1/53","46/8541",0.249559843215239,0.495554545813117,0.34525572294439,"FTH1",1
"hsa05030","hsa05030","Cocaine addiction","1/53","49/8541",0.263519934315448,0.504310326460735,0.351355926046101,"FOSB",1
"hsa00330","hsa00330","Arginine and proline metabolism","1/53","50/8541",0.268116430250597,0.504310326460735,0.351355926046101,"SAT1",1
"hsa04672","hsa04672","Intestinal immune network for IgA production","1/53","50/8541",0.268116430250597,0.504310326460735,0.351355926046101,"IL6",1
"hsa05161","hsa05161","Hepatitis B","2/53","163/8541",0.268481756533053,0.504310326460735,0.351355926046101,"CXCL8/IL6",2
"hsa04913","hsa04913","Ovarian steroidogenesis","1/53","52/8541",0.277225142581384,0.509701566646262,0.355112034316215,"PTGS2",1
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/53","53/8541",0.281737696173466,0.509701566646262,0.355112034316215,"ATP2B1",1
"hsa04140","hsa04140","Autophagy - animal","2/53","169/8541",0.282352666415555,0.509701566646262,0.355112034316215,"CTSL/HIF1A",2
"hsa05206","hsa05206","MicroRNAs in cancer","3/53","312/8541",0.305582471661988,0.52473708453859,0.365587366736466,"CD44/PTGS2/THBS1",3
"hsa00480","hsa00480","Glutathione metabolism","1/53","59/8541",0.308238247964011,0.52473708453859,0.365587366736466,"ANPEP",1
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/53","59/8541",0.308238247964011,0.52473708453859,0.365587366736466,"PTGS2",1
"hsa05168","hsa05168","Herpes simplex virus 1 infection","2/53","182/8541",0.312333536165874,0.52473708453859,0.365587366736466,"IL1B/IL6",2
"hsa04370","hsa04370","VEGF signaling pathway","1/53","60/8541",0.312560739458695,0.52473708453859,0.365587366736466,"PTGS2",1
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","1/53","62/8541",0.321126373683161,0.52473708453859,0.365587366736466,"SOD2",1
"hsa00590","hsa00590","Arachidonic acid metabolism","1/53","63/8541",0.325369834255728,0.52473708453859,0.365587366736466,"PTGS2",1
"hsa03250","hsa03250","Viral life cycle - HIV-1","1/53","64/8541",0.329587267469274,0.52473708453859,0.365587366736466,"APOBEC3A",1
"hsa00561","hsa00561","Glycerolipid metabolism","1/53","65/8541",0.333778829911663,0.52473708453859,0.365587366736466,"GK",1
"hsa04613","hsa04613","Neutrophil extracellular trap formation","2/53","193/8541",0.337524432490053,0.52473708453859,0.365587366736466,"AQP9/FCGR2A",2
"hsa05221","hsa05221","Acute myeloid leukemia","1/53","68/8541",0.346199844666822,0.52473708453859,0.365587366736466,"BCL2A1",1
"hsa05031","hsa05031","Amphetamine addiction","1/53","69/8541",0.350289471508868,0.52473708453859,0.365587366736466,"FOSB",1
"hsa04920","hsa04920","Adipocytokine signaling pathway","1/53","70/8541",0.354353996769731,0.52473708453859,0.365587366736466,"TNFRSF1B",1
"hsa05211","hsa05211","Renal cell carcinoma","1/53","70/8541",0.354353996769731,0.52473708453859,0.365587366736466,"HIF1A",1
"hsa05416","hsa05416","Viral myocarditis","1/53","70/8541",0.354353996769731,0.52473708453859,0.365587366736466,"ABL2",1
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts","1/53","71/8541",0.358393571574501,0.52473708453859,0.365587366736466,"PTGS2",1
"hsa05230","hsa05230","Central carbon metabolism in cancer","1/53","71/8541",0.358393571574501,0.52473708453859,0.365587366736466,"HIF1A",1
"hsa04510","hsa04510","Focal adhesion","2/53","203/8541",0.36020480974283,0.52473708453859,0.365587366736466,"THBS1/EMP1",2
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/53","72/8541",0.362408346156148,0.52473708453859,0.365587366736466,"CXCL8",1
"hsa04115","hsa04115","p53 signaling pathway","1/53","75/8541",0.374305357618453,0.536375718649123,0.373696070546909,"THBS1",1
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","2/53","213/8541",0.382615805116908,0.541622576951296,0.377351587122448,"APOBEC3A/TNFRSF1B",2
"hsa03018","hsa03018","RNA degradation","1/53","78/8541",0.385984490894324,0.541622576951296,0.377351587122448,"BTG1",1
"hsa04151","hsa04151","PI3K-Akt signaling pathway","3/53","362/8541",0.391258563114337,0.541622576951296,0.377351587122448,"EREG/THBS1/IL6",3
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/53","80/8541",0.393651472394962,0.541622576951296,0.377351587122448,"IL6",1
"hsa04612","hsa04612","Antigen processing and presentation","1/53","81/8541",0.397449660784404,0.541622576951296,0.377351587122448,"CTSL",1
"hsa04146","hsa04146","Peroxisome","1/53","83/8541",0.40497614080085,0.546521199721536,0.38076448598547,"SOD2",1
"hsa05210","hsa05210","Colorectal cancer","1/53","87/8541",0.41975342587337,0.559376934190855,0.389721150666859,"EREG",1
"hsa04211","hsa04211","Longevity regulating pathway","1/53","90/8541",0.430599510492241,0.559376934190855,0.389721150666859,"SOD2",1
"hsa04976","hsa04976","Bile secretion","1/53","90/8541",0.430599510492241,0.559376934190855,0.389721150666859,"AQP9",1
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","1/53","90/8541",0.430599510492241,0.559376934190855,0.389721150666859,"HIF1A",1
"hsa05222","hsa05222","Small cell lung cancer","1/53","93/8541",0.441246612888611,0.563264742514303,0.392429809248889,"PTGS2",1
"hsa04970","hsa04970","Salivary secretion","1/53","97/8541",0.455139402790209,0.563264742514303,0.392429809248889,"ATP2B1",1
"hsa04925","hsa04925","Aldosterone synthesis and secretion","1/53","98/8541",0.458559299954126,0.563264742514303,0.392429809248889,"ATP2B1",1
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","1/53","99/8541",0.461958134148421,0.563264742514303,0.392429809248889,"FCGR2A",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/53","99/8541",0.461958134148421,0.563264742514303,0.392429809248889,"IL1B",1
"hsa05231","hsa05231","Choline metabolism in cancer","1/53","99/8541",0.461958134148421,0.563264742514303,0.392429809248889,"HIF1A",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","1/53","99/8541",0.461958134148421,0.563264742514303,0.392429809248889,"IL6",1
"hsa04972","hsa04972","Pancreatic secretion","1/53","106/8541",0.485170804608475,0.586423842091983,0.408564888091347,"ATP2B1",1
"hsa04931","hsa04931","Insulin resistance","1/53","109/8541",0.494815637243319,0.592925634282943,0.413094724377363,"IL6",1
"hsa04726","hsa04726","Serotonergic synapse","1/53","115/8541",0.513576480790624,0.604975684999124,0.421490064520405,"PTGS2",1
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action","1/53","115/8541",0.513576480790624,0.604975684999124,0.421490064520405,"JUND",1
"hsa04919","hsa04919","Thyroid hormone signaling pathway","1/53","122/8541",0.534601300361804,0.624450258405804,0.435058112634108,"HIF1A",1
"hsa04611","hsa04611","Platelet activation","1/53","126/8541",0.546212418093897,0.632696050958764,0.440803004075776,"FCGR2A",1
"hsa04926","hsa04926","Relaxin signaling pathway","1/53","130/8541",0.557539184500992,0.640478897897834,0.446225358626283,"MMP1",1
"hsa05322","hsa05322","Systemic lupus erythematosus","1/53","141/8541",0.587276816993515,0.66911047182048,0.466173142048347,"FCGR2A",1
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","1/53","144/8541",0.595040807783845,0.672444490097191,0.468495971896566,"INHBA",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","1/53","149/8541",0.607663524535072,0.675721839283,0.470779320060856,"CXCL8",1
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","1/53","149/8541",0.607663524535072,0.675721839283,0.470779320060856,"PTGS2",1
"hsa05165","hsa05165","Human papillomavirus infection","2/53","333/8541",0.618065250801984,0.675781024093473,0.470820554461185,"PTGS2/THBS1",2
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","1/53","154/8541",0.619899982805298,0.675781024093473,0.470820554461185,"ATP2B1",1
"hsa04921","hsa04921","Oxytocin signaling pathway","1/53","155/8541",0.622301950244349,0.675781024093473,0.470820554461185,"PTGS2",1
"hsa04022","hsa04022","cGMP-PKG signaling pathway","1/53","166/8541",0.647760243418954,0.697357226258897,0.485852819506388,"ATP2B1",1
"hsa04630","hsa04630","JAK-STAT signaling pathway","1/53","168/8541",0.652204600098249,0.697357226258897,0.485852819506388,"IL6",1
"hsa05034","hsa05034","Alcoholism","1/53","188/8541",0.693729153448044,0.73609429258991,0.512841158033106,"FOSB",1
"hsa04015","hsa04015","Rap1 signaling pathway","1/53","212/8541",0.737173884018335,0.776266438473853,0.54082932479814,"THBS1",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","1/53","224/8541",0.756567871340884,0.78800625773702,0.549008524890616,"IL6",1
"hsa04024","hsa04024","cAMP signaling pathway","1/53","226/8541",0.759660708897559,0.78800625773702,0.549008524890616,"ATP2B1",1
"hsa04820","hsa04820","Cytoskeleton in muscle cells","1/53","232/8541",0.768709726137155,0.791486310615293,0.55143309789176,"THBS1",1
"hsa04014","hsa04014","Ras signaling pathway","1/53","238/8541",0.77742422874371,0.794573292613056,0.553583816133292,"ABL2",1
"hsa04020","hsa04020","Calcium signaling pathway","1/53","254/8541",0.799118434800277,0.810784397352106,0.564878186720134,"ATP2B1",1
"hsa05016","hsa05016","Huntington disease","1/53","311/8541",0.860822157903477,0.867059999627415,0.604085724844545,"SOD2",1
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","1/53","371/8541",0.905678323465776,0.905678323465776,0.630991334788727,"TNFRSF1B",1
